id,educate,american,group
11017,16,5,Not immigrant
11039,14,17.5,Not immigrant
11041,20,14.000001,Not immigrant
11049,14,16.666668,Not immigrant
11051,20,12,Not immigrant
11081,18,20,Not immigrant
11116,10,7.9999995,Not immigrant
11123,14,10,Not immigrant
11179,16,7.9999995,Not immigrant
11226,10,20,Not immigrant
11236,16,1.6666663,Not immigrant
11240,20,6,Not immigrant
11269,16,23.333332,Not immigrant
11280,16,7.9999995,Not immigrant
11293,20,2.5,Not immigrant
11314,14,15.999999,Not immigrant
11324,16,14.000001,Not immigrant
11332,12,13.333332,Not immigrant
11341,18,18,Not immigrant
11343,20,10,Not immigrant
11358,14,7.5,Not immigrant
11361,13,16.666668,Not immigrant
11392,18,3.9999998,Not immigrant
11400,18,22.5,Not immigrant
11408,16,16.666668,Not immigrant
11415,16,18.333332,Not immigrant
11422,12,7.9999995,Not immigrant
11445,16,15.999999,Not immigrant
11448,20,20,Not immigrant
11449,12,14.000001,Not immigrant
11470,20,16.666668,Not immigrant
11475,14,13.333332,Not immigrant
11514,10,25,Not immigrant
11519,14,10,Not immigrant
11551,16,15,Not immigrant
11566,16,22.5,Not immigrant
11586,16,20,Not immigrant
11589,14,15,Not immigrant
11599,16,20,Not immigrant
11606,14,12,Not immigrant
11640,12,5,Not immigrant
11642,10,7.9999995,Not immigrant
11654,10,12.5,Not immigrant
11655,12,14.000001,Not immigrant
11657,18,18,Not immigrant
11677,14,6.666666,Not immigrant
11684,16,16.666668,Not immigrant
11690,20,23.333332,Not immigrant
11697,14,25,Not immigrant
11700,14,16.666668,Not immigrant
11726,20,14.000001,Not immigrant
11751,16,10,Not immigrant
11769,14,2.5,Not immigrant
11782,20,30,Not immigrant
11790,20,7.9999995,Not immigrant
11797,14,25,Not immigrant
11833,16,10,Not immigrant
11862,10,5,Not immigrant
11883,18,13.333332,Not immigrant
11891,14,23.333332,Not immigrant
11909,20,23.333332,Not immigrant
11912,16,10,Not immigrant
11916,16,26,Not immigrant
11925,14,15.999999,Not immigrant
11941,10,13.333332,Not immigrant
11944,14,15,Not immigrant
11963,14,15,Not immigrant
11989,12,5,Not immigrant
11991,20,12.5,Not immigrant
11993,20,10,Not immigrant
11995,12,0,Not immigrant
12030,20,17.5,Not immigrant
12038,14,17.5,Not immigrant
12085,16,20,Not immigrant
12090,20,20,Not immigrant
12098,14,16.666668,Not immigrant
12108,14,26.666668,Not immigrant
12140,20,10,Not immigrant
12146,16,22,Not immigrant
12148,16,14.000001,Not immigrant
12150,20,30,Not immigrant
12159,12,11.666668,Not immigrant
12166,14,17.5,Not immigrant
12205,14,2.5,Not immigrant
12220,20,25,Not immigrant
12248,20,20,Not immigrant
12268,18,12.5,Not immigrant
12271,18,17.5,Not immigrant
12310,16,5,Not immigrant
12323,14,10,Not immigrant
12331,14,12.5,Not immigrant
12383,20,13.333332,Not immigrant
12407,14,5,Not immigrant
12412,14,14.000001,Not immigrant
12421,20,15,Not immigrant
12427,13,13.333332,Not immigrant
12433,14,15.999999,Not immigrant
12437,12,17.5,Not immigrant
12438,13,2.0000005,Not immigrant
12450,20,17.5,Not immigrant
12459,16,16.666668,Not immigrant
12464,20,23.333332,Not immigrant
12470,14,15,Not immigrant
12477,20,23.333332,Not immigrant
12478,18,25,Not immigrant
12487,14,10,Not immigrant
12493,16,10,Not immigrant
12501,20,20,Not immigrant
12516,16,10,Not immigrant
12548,20,15,Not immigrant
12576,10,10,Not immigrant
12592,16,27.5,Not immigrant
12593,12,18,Not immigrant
12597,16,15.999999,Not immigrant
12601,14,10,Not immigrant
12607,20,20,Not immigrant
12614,10,7.5,Not immigrant
12622,20,18,Not immigrant
12626,16,23.333332,Not immigrant
12641,16,27.5,Not immigrant
12667,14,15,Not immigrant
