state,county,teen_birth_rate,per_uninsured,per_hsgrads,per_child_poverty,per_singleparent
Georgia,Jenkins,77,23,70,46,37
Georgia,Johnson,73,25,68,36,43
Georgia,Jones,27,18,76,18,24
Georgia,Lamar,48,21,73,27,38
Georgia,Lanier,70,24,75,34,54
Georgia,Laurens,68,20,77,29,43
Georgia,Lee,30,16,75,15,20
Georgia,Liberty,73,21,78,31,40
Georgia,Lincoln,42,24,83,32,46
Georgia,Long,52,26,93,30,41
Georgia,Lowndes,64,21,79,30,40
Georgia,Lumpkin,26,24,90,25,33
Georgia,McDuffie,73,21,85,32,52
Georgia,McIntosh,66,23,83,33,49
Georgia,Macon,60,25,76,40,47
Georgia,Madison,59,23,74,25,37
Georgia,Marion,75,24,92,37,49
Georgia,Meriwether,63,22,79,31,49
Georgia,Miller,53,22,83,37,40
Georgia,Mitchell,84,23,78,41,51
Georgia,Monroe,37,18,76,22,29
Georgia,Montgomery,51,26,71,33,39
Georgia,Morgan,42,20,88,24,29
Georgia,Murray,98,24,77,27,24
Georgia,Muscogee,72,18,82,30,50
Georgia,Newton,58,21,84,21,36
Georgia,Oconee,17,15,93,11,18
Georgia,Oglethorpe,40,23,77,24,23
Georgia,Paulding,35,16,82,12,26
Georgia,Peach,61,22,79,36,42
Georgia,Pickens,61,20,81,22,22
Georgia,Pierce,87,23,87,29,27
Georgia,Pike,44,20,88,18,27
Georgia,Polk,95,24,77,31,36
Georgia,Pulaski,60,24,81,28,50
Georgia,Putnam,61,22,72,33,46
Georgia,Quitman,86,25,37,44,43
Georgia,Rabun,58,26,93,31,28
Georgia,Randolph,53,23,72,39,52
Georgia,Richmond,70,20,78,39,57
Georgia,Rockdale,44,21,84,25,36
Georgia,Schley,67,22,89,25,31
Georgia,Screven,61,22,75,34,43
Georgia,Seminole,75,22,84,41,53
Georgia,Spalding,81,22,69,35,47
Georgia,Stephens,61,23,83,34,30
Georgia,Stewart,90,22,73,46,57
Georgia,Sumter,70,22,76,43,51
Georgia,Talbot,63,21,72,36,32
Georgia,Taliaferro,74,27,86,49,66
Georgia,Tattnall,93,31,68,36,41
Georgia,Taylor,64,22,59,34,40
Georgia,Telfair,91,26,81,41,44
Georgia,Terrell,85,23,75,42,63
Georgia,Thomas,68,21,79,36,45
Georgia,Tift,78,25,83,33,42
Georgia,Toombs,83,25,74,40,42
Georgia,Towns,26,27,97,29,29
Georgia,Treutlen,71,26,71,42,33
Georgia,Troup,78,21,80,30,42
Georgia,Turner,87,25,74,41,52
Georgia,Twiggs,53,22,83,32,37
Georgia,Union,44,24,57,33,10
Georgia,Upson,69,21,70,32,36
Georgia,Walker,74,21,76,26,31
Georgia,Walton,51,20,82,21,22
Georgia,Ware,92,24,71,34,35
Georgia,Warren,74,22,76,39,51
Georgia,Washington,54,22,77,35,52
Georgia,Wayne,87,24,80,35,33
