State,StateCode,County,CountyCode,BingeDrink,TeenBirths,PrimaryCare,PerHSGrads,PerSingleParentHH,ViolentCrime,UnhealthyFoods,PerFastFood
Georgia,10,Brantley,322.10001,4,46,13,71,33,292,40,63
Georgia,10,Brooks,323.10001,6,67,12,71,38,951,33,50
Georgia,10,Bryan,324.10001,9,41,96,83,29,193,22,48
Georgia,10,Bulloch,325.10001,15,33,81,82,38,658,2,47
Georgia,10,Camden,326.10001,16,59,81,85,33,551,1,50
Georgia,10,Carroll,327.10001,12,54,83,80,30,764,23,55
Georgia,10,Catoosa,328.10001,12,55,66,80,29,173,18,59
Georgia,10,Charlton,329.10001,7,62,19,84,47,219,6,79
Georgia,10,Chatham,330.10001,17,57,163,78,47,599,12,42
Georgia,10,Chattooga,331.10001,6,84,45,83,40,213,0,57
Georgia,10,Cherokee,332.10001,17,33,51,82,20,87,10,43
Georgia,10,Clarke,333.10001,15,28,107,70,47,423,20,49
Georgia,10,Clayton,334.10001,9,60,35,82,49,631,13,61
Georgia,10,Cobb,335.10001,17,36,87,87,28,322,7,49
Georgia,10,Columbia,336.10001,11,27,215,85,25,115,9,46
Georgia,10,Cook,337.10001,14,81,109,66,38,455,1,54
Georgia,10,Coweta,338.10001,15,47,61,84,25,210,15,47
Georgia,10,Crawford,339.10001,6,34,32,65,39,265,32,60
Georgia,10,Crisp,340.10001,5,105,95,66,60,669,1,50
Georgia,10,Decatur,341.10001,10,80,70,77,52,536,3,56
Georgia,10,DeKalb,342.10001,14,48,145,79,46,746,6,52
Georgia,10,Dodge,343.10001,13,72,71,83,36,575,0,57
Georgia,10,Dooly,344.10001,6,91,26,69,58,622,12,64
Georgia,10,Dougherty,345.10001,11,75,151,78,61,888,26,57
Georgia,10,Douglas,346.10001,11,45,60,81,35,280,14,50
Georgia,10,Early,347.10001,8,76,60,84,47,579,3,42
Georgia,10,Elbert,348.10001,9,64,58,74,46,438,1,61
Georgia,10,Emanuel,349.10001,9,82,57,81,42,122,11,48
Georgia,10,Fannin,350.10001,12,63,106,91,31,218,1,53
Georgia,10,Fayette,351.10001,18,15,162,94,17,80,6,40
Georgia,10,Floyd,352.10001,9,64,233,79,36,395,17,50
Georgia,10,Forsyth,353.10001,18,28,43,90,13,74,10,48
Georgia,10,Franklin,354.10001,7,69,83,73,31,192,0,37
Georgia,10,Fulton,355.10001,17,47,148,80,42,953,7,47
Georgia,10,Glynn,356.10001,16,71,100,73,40,921,17,43
Georgia,10,Gordon,357.10001,12,91,85,84,26,228,0,60
Georgia,10,Grady,358.10001,9,87,56,82,49,209,1,61
Georgia,10,Greene,359.10001,11,59,102,74,54,342,1,46
Georgia,10,Gwinnett,360.10001,15,39,76,85,26,311,5,50
Georgia,10,Habersham,361.10001,7,72,86,83,26,205,0,48
Georgia,10,Hall,362.10001,15,71,79,79,28,212,19,49
Georgia,10,Haralson,363.10001,15,69,80,82,36,401,26,50
